,,,,,,,,,
,Bag,No Need,Item,Packed,Note,,Bag View,% packed,Hide
,露營用品,,Ventlax hemisphere 350×350×190帳篷,FALSE,,,total,0%,TRUE
,露營用品,TRUE,MSR Hubba 2,FALSE,,,露營用品,0%,
,露營用品,TRUE,TOKYO CRAFTS TARBIS 行軍床帳,FALSE,,,睡眠用品,0%,
,露營用品,TRUE,Coleman 輕量六角形天幕含CM-39093,FALSE,420×420×高220,,個人用品,0%,
,露營用品,,TOKYOCRAFTS Makaon TC 天幕,FALSE,400x400,,燈具,0%,
,露營用品,,ZEN CAMPS 兩用地墊 198*73,FALSE,帳篷袋,,鍋具,0%,
,露營用品,,PLANFORTY 行軍床地墊205*145,FALSE,帳篷袋,,食材,0%,
,露營用品,TRUE,地布,FALSE,帳篷袋內,,,,
,露營用品,TRUE,Territory Task HAMMER 套組,FALSE,要搭配53L索爾箱,,,,
,露營用品,TRUE,索爾箱53L,FALSE,,,,,
,露營用品,,索爾箱架,FALSE,,,,,
,露營用品,,索爾箱22L,FALSE,,,,,
,露營用品,,韓國 INHILLS 一單位收納包,FALSE,,,,,
,露營用品,,OFFLINE雙向滑軌,FALSE,,,,,
,露營用品,,OFFLIN黑色一單位摺疊桌面組,FALSE,,,,,
,露營用品,TRUE,黑色影岑單位版(25*36cm),FALSE,INHILLS 一單位收納包,,,,
,露營用品,TRUE,日月鉄工所 Mag base 磁吸底座,FALSE,,,,,
,露營用品,,OFFLINE 向量系列一單位x3,FALSE,22L索爾箱,,,,
,露營用品,,一單位木板,FALSE,INHILLS 一單位收納包,,,,
,露營用品,,一單位不鏽鋼跨接板x2,FALSE,INHILLS 一單位收納包,,,,
,露營用品,,不鏽鋼摺疊籃,FALSE,INHILLS 一單位收納包,,,,
,露營用品,,CAMPFIRE高砂蛇直刀,FALSE,,,,,
,露營用品,,CAMPFIRE鎧焰戶外皮手套,FALSE,,,,,
,露營用品,TRUE,CAMPFIRE崗焰桌 崗焰露營桌,FALSE,,,,,
,露營用品,TRUE,CAMPFIRE戰壘高背露營椅-鈦灰,FALSE,,,,,
,露營用品,TRUE,CAMPFIRE戰壘高背露營椅-黑,FALSE,,,,,
,露營用品,,Hector 赫克托高背椅,FALSE,,,,,
,露營用品,TRUE,OWL CAMP 玻璃紗中型椅,FALSE,,,,,
,露營用品,TRUE,OWL CAMP 迷彩三腳旋轉椅,FALSE,,,,,
,露營用品,TRUE,CampingBar 工業風折凳,FALSE,,,,,
,露營用品,TRUE,B6君輕量燒烤焚火台,FALSE,,,,,
,露營用品,TRUE,CAMPFIRE 防火地墊M,FALSE,,,,,
,露營用品,TRUE,OWL CAMP 防火地墊L,FALSE,,,,,
,露營用品,,線香架,FALSE,22L索爾箱,,,,
,露營用品,,防蚊線香,FALSE,,,,,
,露營用品,,A4君焚火台,FALSE,,,,,
,露營用品,TRUE,大創單人焚火台,FALSE,,,,,
,露營用品,,防火地墊M,FALSE,,,,,
,露營用品,TRUE,CAMPFIRE高砂蛇直刀,FALSE,,,,,
,露營用品,,牛皮手套,FALSE,,,,,
,露營用品,TRUE,暖氣機黑設,FALSE,,,,,
,露營用品,,CLAYMORE F21輕量風扇,FALSE,,,,,
,露營用品,TRUE,電熱毯×1,FALSE,給阿金用,,,,
,露營用品,TRUE,魚骨釘,FALSE,10個,,,,
,露營用品,,TKS營釘27cm x4,FALSE,可能要再去補貨 不然天幕不夠用,,,,
,露營用品,TRUE,魚骨釘x10,FALSE,7.7x3.5cm,,,,
,露營用品,,TKS獵隼營錘,FALSE,22L索爾箱,,,,
,露營用品,,藍芽喇叭,FALSE,,,,,
,露營用品,,動力線,FALSE,,,,,
,露營用品,TRUE,FLEXTAIL充氣幫浦,FALSE,,,,,
,露營用品,,營柱×2,FALSE,,,,,
,露營用品,,營繩一組,FALSE,一組裝(天幕用的)/帳篷本身上有,,,,
,露營用品,TRUE,桶裝水架,FALSE,,,,,
,露營用品,,擦帳篷毛巾,FALSE,22L索爾箱,,,,
,露營用品,TRUE,Minimal Works M 掛架,FALSE,,,,,
,露營用品,TRUE,MOOSINA 油蠟戰術包 S,FALSE,餐具包,,,,
,露營用品,,OWL CAMP 雙層餐具袋,FALSE,刀子夾子剪刀,,,,
,露營用品,,強力磁鐵掛勾x2,FALSE,22L索爾箱,,,,
,睡眠用品,,VENTLAX行軍床,FALSE,,,,,
,睡眠用品,,PLANFORTY行軍床,FALSE,,,,,
,睡眠用品,TRUE,VOLMAX充氣床墊單人,FALSE,不可用電熱毯,,,,
,睡眠用品,TRUE,充氣幫浦,FALSE,檢查電源,,,,
,睡眠用品,TRUE,睡袋,FALSE,,,,,
,睡眠用品,,枕頭,FALSE,,,,,
,睡眠用品,TRUE,Nike毛毯,FALSE,,,,,
,睡眠用品,TRUE,Snow Travel雙層軍用毯,FALSE,185×155×0.7,,,,
,睡眠用品,,Helikon-tex神鬼獵人睡袋,FALSE,,,,,
,燈具,,OUTASK 戶外伸縮照明燈/巨根,FALSE,,,,,
,燈具,,INFINITY X1 CAMP LIGHT,FALSE,2000流明露營燈/可當風扇腳架,,,,
,燈具,,ZANE ART ZIGx4,FALSE,,,,,
,燈具,,Goal Zero,FALSE,,,,,
,燈具,TRUE,平替38燈,FALSE,,,,,
,燈具,,Octobase 太空mini 防爆燈/吸頂燈,FALSE,,,,,
,燈具,,貝爾燈x1,FALSE,22L索爾箱,,,,
,燈具,,OLDDOG ANKO Light 營繩警示燈x4,FALSE,22L索爾箱,,,,
,燈具,TRUE,FLEXTAIL TINY REPEL 戰術驅蚊燈,FALSE,,,,,
,燈具,TRUE,燈架,FALSE,,,,,
,燈具,TRUE,Shaner帳篷小夜燈,FALSE,,,,,
,燈具,TRUE,手電筒/頭燈,FALSE,,,,,
,燈具,TRUE,營釘炫釘帽,FALSE,,,,,
,鍋具,TRUE,岩谷串燒磁式瓦斯爐2.3kw,FALSE,,,,,
,鍋具,,SOTO310,FALSE,22L索爾箱,,,,
,鍋具,TRUE,SOD310(高山瓦斯) + 4角架,FALSE,,,,,
,鍋具,,Snow Peak GS-450R單口爐,FALSE,INHILLS 一單位收納包,,,,
,鍋具,TRUE,KINOX不鏽鋼煮飯器/蒸盤/炸籃/收納袋,FALSE,,,,,
,鍋具,TRUE,SOD310(高山瓦斯) + 4角架,FALSE,,,,,
,鍋具,,VENTLAX ICE JUG 蓄冷兩日保冰桶,FALSE,,,,,
,鍋具,TRUE,Outdoor Cafe Club 直火手沖壺全配組,FALSE,,,,,
,鍋具,TRUE,TILLAK迷你烤盤 + 萬用迷你烤夾,FALSE,,,,,
,鍋具,,UNIFLAME 不沾烤肉夾,FALSE,22L索爾箱,,,,
,鍋具,,ZEN閃電型烤肉夾,FALSE,,,,,
,鍋具,TRUE,土克鐵鍋,FALSE,,,,,
,鍋具,,Keith 鎧斯鈦三件式套鍋,FALSE,MOOSINA 油蠟戰術包 S,,,,
,燈具,TRUE,Keith 鎧斯鈦碗 300ml+400ml,FALSE,MOOSINA 油蠟戰術包 S,,,,
,鍋具,,小盤x2/醬料小碗x2,FALSE,MOOSINA 油蠟戰術包 S,,,,
,燈具,,有刀叉組、筷夾×2、迪卡儂餐具組,FALSE,MOOSINA 油蠟戰術包 S,,,,
,鍋具,TRUE,火鍋鍋組+蓋,FALSE,,,,,
,鍋具,,Snow Peak 鈦杯,FALSE,MOOSINA 油蠟戰術包 S,,,,
,鍋具,,CAMPFIRE哥吉拉玻璃杯570ml,FALSE,MOOSINA 油蠟戰術包 S,,,,
,鍋具,TRUE,柯曼戶外茶壺 0.8L,FALSE,MOOSINA 油蠟戰術包 S,,,,
,鍋具,,KZM 不銹鋼戶外茶壺 0.8L,FALSE,,,,,
,鍋具,,冰桶,FALSE,,,,,
,鍋具,,WOKY 塔塔鍋 - 鈦塗層可疊不沾鍋,FALSE,鹽巴、黑胡椒、白胡椒粉都在收納袋裡,,,,
,鍋具,,高山瓦斯罐,FALSE,,,,,
,鍋具,,一般瓦斯罐,FALSE,,,,,
,鍋具,TRUE, Sea to Summit Sigma 折疊鍋具組,FALSE,1.2L+2.7L鍋,,,,
,個人用品,,行動電源,FALSE,,,,,
,個人用品,,攜帶型洗碗精/菜瓜布,FALSE,22L索爾箱,,,,
,個人用品,,內衣內褲,FALSE,1套換洗的和睡衣,,,,
,個人用品,,襪子,FALSE,,,,,
,個人用品,,行動電源,FALSE,,,,,
,個人用品,,盥洗用品,FALSE,,,,,
,個人用品,TRUE,吹風機,FALSE,,,,,
,個人用品,,簡易藥包,FALSE,,,,,
,個人用品,,防蚊噴霧,FALSE,,,,,
,個人用品,,退熱貼,FALSE,,,,,
,個人用品,TRUE,暖暖包/懷爐,FALSE,,,,,
,個人用品,,毛巾,FALSE,,,,,
,個人用品,,拖鞋,FALSE,,,,,
,個人用品,,濕紙巾/酒精擦,FALSE,,,,,
,個人用品,,餐巾紙,FALSE,,,,,
,個人用品,,垃圾袋 大中小各一,FALSE,,,,,
,個人用品,,髒衣袋,FALSE,,,,,
,個人用品,,耳塞,FALSE,,,,,
,個人用品,,水壺,FALSE,,,,,
,食材,,水,FALSE,,,,,
,食材,,飲料,FALSE,,,,,
,食材,,蛋x6,FALSE,,,,,
,食材,,鹽味泡麵,FALSE,,,,,
,食材,,蝦,FALSE,,,,,
,食材,,午仔魚,FALSE,,,,,
,食材,,蘿蔔,FALSE,,,,,
,食材,,娃娃菜,FALSE,,,,,
,食材,,豬肉片,FALSE,,,,,
,食材,,蘆筍,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
,,,,FALSE,,,,,
